feature,p_permutation,q_by,selected_fdr
speed_mean,1.0,1.0,False
speed_std,1.0,1.0,False
speed_median,1.0,1.0,False
speed_min,1.0,1.0,False
speed_max,1.0,1.0,False
speed_q25,1.0,1.0,False
speed_q75,1.0,1.0,False
turning_mean,1.0,1.0,False
turning_std,1.0,1.0,False
turning_max,1.0,1.0,False
angular_accel_mean,1.0,1.0,False
angular_accel_std,1.0,1.0,False
path_length,1.0,1.0,False
displacement,1.0,1.0,False
confinement_ratio,1.0,1.0,False
radius_of_gyration,1.0,1.0,False
tortuosity,1.0,1.0,False
speed_autocorr_lag1,1.0,1.0,False
fraction_moving,1.0,1.0,False
msd_lag10,1.0,1.0,False
